date,open,high,low,close,volume
2015-11-16,111.38,114.24,111.0,114.18,38106701
2015-11-17,114.92,115.05,113.32,113.69,27616939
2015-11-18,115.76,117.49,115.5,117.29,46674697
2015-11-19,117.64,119.75,116.76,118.78,43295820
2015-11-20,119.2,119.92,118.85,119.3,34287096
2015-11-23,119.27,119.73,117.34,117.75,32482528
2015-11-24,117.33,119.35,117.12,118.88,42803172
2015-11-25,119.21,119.23,117.92,118.03,21388308
2015-11-27,118.29,118.41,117.6,117.81,13046445
2015-11-30,118.49,119.41,117.75,118.3,39180322
2015-12-01,118.75,118.81,116.86,117.34,34852374
2015-12-02,117.34,118.11,116.08,116.28,33386563
2015-12-03,115.24,116.79,114.22,115.2,41569509
2015-12-04,115.29,119.25,115.11,119.03,57776977
2015-12-07,118.32,119.86,117.81,118.28,32084249
2015-12-08,117.52,118.6,116.86,118.23,34309450
2015-12-09,115.3,117.69,115.08,115.62,46361357
2015-12-10,116.04,116.94,115.51,116.17,29212727
2015-12-11,115.19,115.39,112.85,113.18,46886161
2015-12-14,112.18,112.68,109.79,112.48,64318732
2015-12-15,111.94,112.8,110.35,110.49,53323105
2015-12-16,111.07,111.99,108.8,111.34,56238467
2015-12-17,112.02,112.25,108.98,108.98,44772827
2015-12-18,108.91,109.52,105.81,106.03,96453327
2015-12-21,107.28,107.37,105.57,107.33,47590610
2015-12-22,107.4,107.72,106.45,107.23,32789367
2015-12-23,107.27,108.85,107.2,108.61,32657354
2015-12-24,109.0,109.0,107.95,108.03,13596680
2015-12-28,107.59,107.69,106.18,106.82,26704210
2015-12-29,106.96,109.43,106.86,108.74,30931243
2015-12-30,108.58,108.7,107.18,107.32,25213777
2015-12-31,107.01,107.03,104.82,105.26,40912316
2016-01-04,102.61,105.37,102.0,105.35,67281190
2016-01-05,105.75,105.85,102.41,102.71,55790992
2016-01-06,100.56,102.37,99.87,100.7,68457388
2016-01-07,98.68,100.13,96.43,96.45,81094428
2016-01-08,98.55,99.11,96.76,96.96,70798016
2016-01-11,98.97,99.06,97.34,98.53,49739377
2016-01-12,100.55,100.69,98.84,99.96,49154227
2016-01-13,100.32,101.19,97.3,97.39,61745031
2016-01-14,97.96,100.48,95.74,99.52,62424154
2016-01-15,96.2,97.71,95.36,97.13,79010008
2016-01-19,98.41,98.65,95.5,96.66,52841349
2016-01-20,95.1,98.19,93.42,96.79,72008265
2016-01-21,97.06,97.88,94.94,96.3,52054521
2016-01-22,98.63,101.46,98.37,101.42,65562769
2016-01-25,101.52,101.53,99.21,99.44,51196375
2016-01-26,99.93,100.88,98.07,99.99,63538305
2016-01-27,96.04,96.63,93.34,93.42,132224500
2016-01-28,93.79,94.52,92.39,94.09,55557109
2016-01-29,94.79,97.34,94.35,97.34,64010141
2016-02-01,96.47,96.71,95.4,96.43,40571593
2016-02-02,95.42,96.04,94.28,94.48,37081206
2016-02-03,95.0,96.84,94.08,96.35,45366710
2016-02-04,95.86,97.33,95.19,96.6,46263907
2016-02-05,96.52,96.92,93.69,94.02,45853883
2016-02-08,93.13,95.7,93.04,95.01,53852284
