Date,Open,High,Low,Close,Volume
2014-12-15,201.98,202.53,198.78,199.51,189965750
2014-12-16,198.58,202.4,197.86,197.91,259543848
2014-12-17,198.44,202.34,198.29,201.79,253910092
2014-12-18,204.74,212.97,203.92,206.78,257633887
2014-12-19,206.43,207.33,205.61,206.52,245084590
2014-12-22,206.75,207.47,206.46,207.47,148318934
2014-12-23,208.17,208.23,207.4,207.75,122167931
2014-12-24,208.02,208.34,207.72,207.77,42963399
2014-12-26,208.31,208.85,208.25,208.44,57326703
2014-12-29,208.22,208.97,208.14,208.72,79643948
2014-12-30,208.21,208.37,207.51,207.6,73540761
2014-12-31,207.99,208.19,205.39,205.54,130333829
2015-01-02,206.38,206.88,204.18,205.43,121465865
2015-01-05,204.17,204.37,201.35,201.72,169632646
2015-01-06,202.09,202.72,198.86,199.82,209151408
2015-01-07,201.42,202.72,200.88,202.31,125346709
2015-01-08,204.01,206.16,203.99,205.9,147217784
2015-01-09,206.4,206.42,203.51,204.25,158567288
2015-01-12,204.41,204.6,201.92,202.65,144396067
2015-01-13,204.12,205.48,200.51,202.08,214553306
2015-01-14,199.65,201.1,198.57,200.86,192991092
2015-01-15,201.63,202.01,198.88,199.02,176613906
2015-01-16,198.77,201.82,198.55,201.63,211879605
2015-01-20,202.4,202.72,200.17,202.06,130991069
2015-01-21,201.5,203.66,200.94,203.08,122942707
2015-01-22,203.99,206.26,202.33,206.1,174356029
2015-01-23,205.79,206.1,204.81,204.97,117516753
2015-01-26,204.71,205.56,203.85,205.45,92009711
2015-01-27,202.97,204.12,201.74,202.74,134044598
2015-01-28,204.17,204.29,199.91,200.14,168514312
2015-01-29,200.38,202.3,198.68,201.99,173585424
2015-01-30,200.57,202.17,199.13,199.45,197729724
2015-02-02,200.05,202.03,197.86,201.92,163106969
2015-02-03,203.0,204.85,202.55,204.84,124212881
2015-02-04,203.92,205.38,203.51,204.06,134306728
2015-02-05,204.86,206.3,204.77,206.12,97953181
2015-02-06,206.56,207.24,204.92,205.55,125672026
2015-02-09,204.77,205.64,204.14,204.63,87219016
2015-02-10,205.88,207.12,204.68,206.81,96164183
2015-02-11,206.61,207.45,205.83,206.93,91087785
2015-02-12,207.89,208.99,206.97,208.92,97545949
2015-02-13,209.07,209.84,208.76,209.78,93670430
2015-02-17,209.4,210.32,209.1,210.11,76968199
2015-02-18,209.66,210.22,209.34,210.13,80652941
2015-02-19,209.41,210.42,209.24,209.98,91462491
2015-02-20,209.48,211.33,208.73,211.24,140896392
2015-02-23,210.94,211.21,210.48,211.21,74411054
2015-02-24,211.12,212.05,210.76,211.81,72472263
2015-02-25,211.66,212.24,211.22,211.63,73061687
2015-02-26,211.52,211.71,210.65,211.38,72697868
2015-02-27,211.26,211.58,210.6,210.66,108075972
2015-03-02,210.78,212.06,210.72,211.99,87491428
2015-03-03,211.47,212.05,210.08,211.12,110325809
2015-03-04,210.4,210.49,209.06,210.23,114497192
2015-03-05,210.62,210.8,209.85,210.46,76872957
2015-03-06,209.42,209.94,207.1,207.5,188127982
2015-03-09,207.74,208.79,207.55,208.36,89818893
2015-03-10,206.71,206.81,204.93,204.98,157121263
2015-03-11,205.29,205.5,204.4,204.5,110145718
2015-03-12,205.26,207.18,205.2,207.1,93993523
2015-03-13,206.77,207.93,204.58,205.83,162410893
2015-03-16,206.71,208.69,205.86,208.58,136099192
2015-03-17,207.69,208.42,206.98,207.96,94510422
2015-03-18,207.39,211.27,206.62,210.46,228808524
2015-03-19,209.96,210.47,209.03,209.5,117917302
2015-03-20,209.71,211.02,209.49,210.41,177715081
2015-03-23,210.42,211.11,210.0,210.0,71784536
2015-03-24,209.85,210.4,208.74,208.82,77805321
2015-03-25,209.07,209.35,205.71,205.76,159521708
2015-03-26,204.96,206.37,204.12,205.27,153067241
2015-03-27,205.13,205.95,204.9,205.74,118938966
2015-03-30,206.98,208.61,206.96,208.25,96180365
2015-03-31,207.26,208.1,206.36,206.43,126768703
2015-04-01,206.39,206.42,204.51,205.7,137303584
2015-04-02,205.62,206.98,205.4,206.44,86900906
2015-04-06,205.37,208.45,205.21,207.83,114368155
2015-04-07,207.86,208.76,207.24,207.28,81236337
2015-04-08,207.55,208.51,207.08,207.98,89351939
2015-04-09,207.78,209.18,207.19,208.9,85548854
2015-04-10,209.2,210.09,208.96,210.04,72722915
2015-04-13,209.87,210.63,209.03,209.09,74436594
2015-04-14,208.85,209.71,208.1,209.49,75099866
2015-04-15,210.05,211.04,209.95,210.43,99529320
2015-04-16,210.03,210.98,209.79,210.37,68934864
2015-04-17,208.94,209.23,207.01,207.95,191113230
2015-04-20,209.06,210.25,208.96,209.85,92189481
2015-04-21,210.67,210.86,209.24,209.6,72559831
2015-04-22,210.01,210.85,208.9,210.63,78264616
2015-04-23,210.15,211.94,210.01,211.16,102585942
2015-04-24,211.66,211.97,211.11,211.65,61327387
2015-04-27,212.33,212.48,210.54,210.77,79358126
2015-04-28,210.74,211.5,209.33,211.44,86863531
2015-04-29,210.37,211.29,209.6,210.57,125684903
2015-04-30,209.88,210.35,207.62,208.46,161304890
2015-05-01,209.4,210.77,209.28,210.72,103399711
2015-05-04,211.23,212.02,211.1,211.32,70927235
2015-05-05,211.03,211.46,208.73,208.9,113326156
2015-05-06,209.56,209.93,206.76,208.04,135060151
2015-05-07,207.92,209.38,207.52,208.87,88244940
2015-05-08,210.88,211.86,210.78,211.62,155877260
2015-05-11,211.57,211.89,210.52,210.6,75708065
2015-05-12,209.61,210.63,208.62,209.98,119727592
2015-05-13,210.47,211.22,209.74,210.02,94667943
2015-05-14,211.24,212.32,210.91,212.21,95934006
2015-05-15,212.44,212.61,211.86,212.44,76510099
2015-05-18,212.24,213.4,212.16,213.1,74549685
2015-05-19,213.24,213.57,212.69,213.03,72114610
2015-05-20,213.15,213.78,212.5,212.88,76857530
2015-05-21,212.71,213.75,212.51,213.5,64764585
2015-05-22,213.04,213.54,212.91,212.99,57433495
2015-05-26,212.4,212.91,210.2,210.7,124308584
2015-05-27,211.25,212.98,210.76,212.7,93213981
2015-05-28,212.33,212.59,211.63,212.46,74974560
2015-05-29,212.38,212.43,210.82,211.14,124919611
2015-06-01,211.94,212.34,210.62,211.57,93338750
2015-06-02,211.02,212.19,210.27,211.36,91531012
2015-06-03,212.0,212.67,211.33,211.92,87820909
2015-06-04,211.07,211.86,209.75,210.13,151882820
2015-06-05,209.95,210.58,208.98,209.77,121704676
2015-06-08,209.64,209.82,208.39,208.48,89063330
2015-06-09,208.45,209.1,207.69,208.45,105034690
2015-06-10,209.37,211.41,209.3,210.95,134551285
2015-06-11,211.48,212.09,211.2,211.63,73876447
2015-06-12,210.64,211.48,209.68,210.01,135382369
2015-06-15,208.64,209.45,207.79,209.11,124384184
2015-06-16,208.93,210.35,208.72,210.25,85308227
2015-06-17,210.59,211.32,209.36,210.59,126708635
2015-06-18,211.31,213.34,210.63,212.78,165867949
2015-06-19,211.46,211.55,210.36,210.81,130478689
2015-06-22,211.9,212.59,211.64,211.89,70696027
2015-06-23,212.14,212.44,211.57,212.04,68476797
2015-06-24,211.72,212.17,210.47,210.5,92307318
2015-06-25,211.1,211.25,209.77,209.86,97107361
2015-06-26,210.29,210.58,209.16,209.82,104174840
2015-06-29,208.04,209.83,205.33,205.42,202621332
2015-06-30,207.26,207.32,205.28,205.85,182925106
2015-07-01,207.73,208.03,206.56,207.5,135979873
2015-07-02,208.07,208.27,206.81,207.31,104373652
2015-07-06,205.77,207.65,205.53,206.72,117975369
2015-07-07,206.96,208.17,204.11,208.02,173820249
2015-07-08,208.02,206.76,204.25,204.53,164020059
2015-07-09,207.04,207.35,204.77,204.9,144113107
2015-07-10,207.29,207.98,204.95,207.48,129456890
2015-07-13,208.99,209.9,208.94,209.77,106069400
2015-07-14,209.72,211.05,209.65,210.68,81709575
2015-07-15,210.73,211.28,210.04,210.61,97914141
2015-07-16,211.87,212.3,211.58,212.3,106683266
2015-07-17,212.29,212.55,211.8,212.48,89029973
2015-07-20,212.75,213.18,212.21,212.59,70446821
2015-07-21,212.43,212.74,211.39,211.75,77965048
2015-07-22,210.93,211.77,210.89,211.37,88667920
2015-07-23,211.53,211.65,209.75,210.18,90509128
2015-07-24,210.3,210.37,207.6,208.0,117754979
2015-07-27,206.94,207.55,206.26,206.79,132361082
2015-07-28,207.79,209.5,206.8,209.33,123544845
2015-07-29,209.48,211.04,209.31,210.77,105791255
2015-07-30,210.16,211.02,209.42,210.82,91304374
2015-07-31,211.42,211.45,210.16,210.5,103266857
2015-08-03,210.46,210.53,208.65,209.79,113965728
2015-08-04,209.7,210.25,208.8,209.38,81820823
2015-08-05,210.45,211.31,209.73,210.07,85786817
2015-08-06,210.29,210.42,207.65,208.35,116030803
2015-08-07,208.16,208.34,206.87,207.95,117857956
2015-08-10,209.28,210.67,209.28,210.57,80270676
2015-08-11,208.97,209.47,207.76,208.67,126081377
2015-08-12,207.11,209.14,205.36,208.92,172123672
2015-08-13,208.73,209.55,208.01,208.66,89383253
2015-08-14,208.43,209.51,208.26,209.42,72786528
2015-08-17,208.71,210.59,208.16,210.59,79072643
2015-08-18,210.26,210.68,209.7,209.98,71692678
2015-08-19,209.09,210.01,207.35,208.32,172945975
2015-08-20,206.51,208.29,203.9,204.01,188596312
2015-08-21,201.73,203.94,197.52,197.63,335775082
2015-08-24,187.49,197.48,182.4,189.55,484852614
2015-08-25,195.43,195.45,186.92,187.23,359334559
2015-08-26,192.08,194.79,188.37,194.68,330022191
2015-08-27,197.02,199.42,195.21,199.16,268793727
2015-08-28,198.5,199.84,197.92,199.24,145039278
2015-08-31,198.11,199.12,197.01,197.54,154776440
2015-09-01,193.12,194.77,190.73,191.92,245336268
2015-09-02,194.62,195.46,192.42,195.36,155982590
2015-09-03,196.26,198.05,194.96,195.65,149536844
2015-09-04,192.85,193.86,191.61,192.56,189333425
